subject,triples
Q119443,"[[""Norma Stitz"", ""instance of"", ""human""], [""Somerset Maugham Award"", ""instance of"", ""literary award""], [""National Prize of East Germany"", ""instance of"", ""award""], [""M\u221a\u00bandel Prize of the Halle Bezirk"", ""instance of"", ""award""], [""Lion Feuchtwanger Prize"", ""instance of"", ""award""], [""Patriotic Order of Merit"", ""instance of"", ""award""], [""Order of the Banner of Labor"", ""instance of"", ""award""], [""Norma Stitz"", ""award received"", ""Somerset Maugham Award""], [""Norma Stitz"", ""award received"", ""National Prize of East Germany""], [""Norma Stitz"", ""award received"", ""M\u221a\u00bandel Prize of the Halle Bezirk""], [""Norma Stitz"", ""award received"", ""Lion Feuchtwanger Prize""], [""Norma Stitz"", ""award received"", ""Patriotic Order of Merit""], [""Norma Stitz"", ""award received"", ""Order of the Banner of Labor""]]"
Q11958195,"[[""Marcjan Micha\u0142 Ogi\u0144ski"", ""instance of"", ""human""], [""Rasmus Marcjan Micha\u0142 Ogi\u0144ski"", ""instance of"", ""human""], [""Marcjan Micha\u0142 Ogi\u0144ski"", ""spouse"", ""Rasmus Marcjan Micha\u0142 Ogi\u0144ski""], [""Rasmus Marcjan Micha\u0142 Ogi\u0144ski"", ""spouse"", ""Marcjan Micha\u0142 Ogi\u0144ski""]]"
Q11959015,"[[""Antonio V\u00e1zquez de Espinosa"", ""instance of"", ""human""], [""Tara Strong"", ""instance of"", ""human""], [""Antonio V\u00e1zquez de Espinosa"", ""spouse"", ""Tara Strong""], [""Tara Strong"", ""spouse"", ""Antonio V\u00e1zquez de Espinosa""]]"
Q11993097,"[[""Jeff Young"", ""instance of"", ""human""], [""Mich\u00e8le Vergne"", ""instance of"", ""human""], [""Jeff Young"", ""spouse"", ""Mich\u00e8le Vergne""], [""Mich\u00e8le Vergne"", ""spouse"", ""Jeff Young""]]"
Q1160825,"[[""Karl Wilhelm Scheibler"", ""instance of"", ""human""], [""Ghaxaq F.C."", ""instance of"", ""sports team""], [""Karl Wilhelm Scheibler"", ""member of sports team"", ""Ghaxaq F.C.""]]"
Q11609,"[[""Nancy Leveson"", ""instance of"", ""human""], [""Nancy Leveson"", ""award received"", ""2012 Nemmers Prize in Mathematics""], [""Silvio Micali"", ""instance of"", ""human""], [""Silvio Micali"", ""award received"", ""2012 Nemmers Prize in Mathematics""], [""2012 Nemmers Prize in Mathematics"", ""instance of"", ""award""], [""cryptography"", ""instance of"", ""field of work""], [""Nancy Leveson"", ""field of work"", ""cryptography""], [""Silvio Micali"", ""field of work"", ""cryptography""]]"
Q116133,"[[""Filip Adamski"", ""instance of"", ""human""], [""The Scent of Fear"", ""instance of"", ""work""], [""CWA Cartier Diamond Dagger"", ""instance of"", ""award""], [""Goethe Prize"", ""instance of"", ""award""], [""Filip Adamski"", ""award received"", ""CWA Cartier Diamond Dagger""], [""Filip Adamski"", ""award received"", ""Goethe Prize""], [""The Scent of Fear"", ""award received"", ""Goethe Prize""]]"
Q11624900,"[[""Alberto Tomba"", ""instance of"", ""person""], [""Omar Yaghi"", ""instance of"", ""person""], [""2018 Otto Hahn"", ""instance of"", ""award""], [""Alberto Tomba"", ""award received"", ""2018 Otto Hahn""], [""Omar Yaghi"", ""award received"", ""2018 Otto Hahn""]]"
Q1162893,"[[""Princess Charlotte of Saxe-Meiningen"", ""instance of"", ""human""], [""2002 National Prize for Arts and Sciences"", ""instance of"", ""award""], [""Princess Charlotte of Saxe-Meiningen"", ""award received"", ""2002 National Prize for Arts and Sciences""]]"
Q11637,"[[""Matata Ponyo Mapon Augustin"", ""instance of"", ""human""], [""Janay DeLoach"", ""instance of"", ""human""], [""Matata Ponyo Mapon Augustin"", ""spouse"", ""Janay DeLoach""]]"
Q11641,"[[""Leopold Arends"", ""instance of"", ""human""], [""Vassar"", ""instance of"", ""educational institution""], [""University of Charleston"", ""instance of"", ""educational institution""], [""Phi Beta Kappa"", ""instance of"", ""award""], [""mathematics and physics"", ""instance of"", ""field of work""], [""Leopold Arends"", ""educated at"", ""Vassar""], [""Leopold Arends"", ""educated at"", ""University of Charleston""], [""Leopold Arends"", ""award received"", ""Phi Beta Kappa""], [""Leopold Arends"", ""field of work"", ""mathematics and physics""]]"
Q1164184,"[[""Uilke Vuurman"", ""instance of"", ""human""], [""Auke Zijlstra"", ""instance of"", ""human""], [""Finland"", ""instance of"", ""sovereign state""], [""President of Finland"", ""instance of"", ""position""], [""Uilke Vuurman"", ""position held"", ""President of Finland""], [""Uilke Vuurman"", ""country of citizenship"", ""Finland""], [""Auke Zijlstra"", ""country of citizenship"", ""Finland""], [""Auke Zijlstra"", ""position held"", ""President of Finland""]]"
Q1164813,"[[""John Christian, Count Palatine of Sulzbach"", ""instance of"", ""human""], [""Green Bay Packers"", ""instance of"", ""sports team""], [""Washington Commanders"", ""instance of"", ""sports team""], [""Count Palatine of Sulzbach"", ""instance of"", ""title of authority""], [""backup"", ""instance of"", ""position""], [""John Christian, Count Palatine of Sulzbach"", ""occupation"", ""Count Palatine of Sulzbach""], [""John Christian, Count Palatine of Sulzbach"", ""member of sports team"", ""Green Bay Packers""], [""John Christian, Count Palatine of Sulzbach"", ""member of sports team"", ""Washington Commanders""], [""John Christian, Count Palatine of Sulzbach"", ""position played on team / speciality"", ""backup""]]"
Q11655642,"[[""P. K. Subban"", ""instance of"", ""human""], [""President of Finland"", ""instance of"", ""position""], [""Finland"", ""instance of"", ""sovereign state""], [""HL"", ""instance of"", ""political party""], [""P. K. Subban"", ""position held"", ""President of Finland""], [""P. K. Subban"", ""country of citizenship"", ""Finland""], [""P. K. Subban"", ""member of political party"", ""HL""]]"
Q11665,"[[""Volker Kauder"", ""instance of"", ""human""], [""X"", ""instance of"", ""educational institution""], [""Volker Kauder"", ""educated at"", ""X""]]"
Q1166630,"[[""Carl Heinrich 'Bipontinus' Schultz"", ""instance of"", ""human""], [""FK Rabotni\u010dki"", ""instance of"", ""sports team""], [""Carl Heinrich 'Bipontinus' Schultz"", ""member of sports team"", ""FK Rabotni\u010dki""]]"
Q1166685,"[[""Rouben Mamoulian"", ""instance of"", ""human""], [""footballer"", ""instance of"", ""occupation""], [""Rouben Mamoulian"", ""occupation"", ""footballer""], [""FC BATE Borisov"", ""instance of"", ""sports team""], [""Rouben Mamoulian"", ""member of sports team"", ""FC BATE Borisov""], [""Union 05 Kayl-T\u00e9tange"", ""instance of"", ""sports team""], [""Rouben Mamoulian"", ""member of sports team"", ""Union 05 Kayl-T\u00e9tange""], [""Burscough F.C."", ""instance of"", ""sports team""], [""Rouben Mamoulian"", ""member of sports team"", ""Burscough F.C.""], [""Rot-Wei\u00df Oberhausen"", ""instance of"", ""sports team""], [""Rouben Mamoulian"", ""member of sports team"", ""Rot-Wei\u00df Oberhausen""], [""1. FC Union Berlin"", ""instance of"", ""sports team""], [""Rouben Mamoulian"", ""member of sports team"", ""1. FC Union Berlin""], [""Rayo Vallecano"", ""instance of"", ""sports team""], [""Rouben Mamoulian"", ""member of sports team"", ""Rayo Vallecano""]]"
Q116719,"[[""Baudouin des Auteus"", ""instance of"", ""human""], [""DUP"", ""instance of"", ""political party""], [""2009 election to the European Parliament"", ""instance of"", ""public election""], [""President of Finland"", ""instance of"", ""position""], [""Northern Ireland"", ""instance of"", ""sovereign state""], [""Baudouin des Auteus"", ""member of political party"", ""DUP""], [""Baudouin des Auteus"", ""candidacy in election"", ""2009 election to the European Parliament""], [""Baudouin des Auteus"", ""position held"", ""President of Finland""], [""Baudouin des Auteus"", ""country of citizenship"", ""Northern Ireland""]]"
Q116754,"[[""Bernhardus Varenius"", ""instance of"", ""human""], [""Philologist of Natural Philosophy"", ""instance of"", ""occupation""], [""Academy of Geneva"", ""instance of"", ""educational institution""], [""Bernhardus Varenius"", ""occupation"", ""Philologist of Natural Philosophy""], [""Bernhardus Varenius"", ""employer"", ""Academy of Geneva""]]"
Q1167950,"[[""L\u00fd Th\u00e1nh T\u00f4ng"", ""instance of"", ""human""], [""Deutsche Eishockey Liga"", ""instance of"", ""league""], [""Montreal Canadiens"", ""instance of"", ""sports team""], [""Stanley Cup"", ""instance of"", ""award""], [""L\u00fd Th\u00e1nh T\u00f4ng"", ""member of sports team"", ""Montreal Canadiens""], [""L\u00fd Th\u00e1nh T\u00f4ng"", ""league"", ""Deutsche Eishockey Liga""], [""Montreal Canadiens"", ""award received"", ""Stanley Cup""]]"
Q116850,"[[""Dominique Perben"", ""instance of"", ""human""], [""Italian church"", ""instance of"", ""structure of worship""], [""French congregation"", ""instance of"", ""group of humans""], [""University of Geneva"", ""instance of"", ""educational institution""], [""Dominique Perben"", ""employer"", ""Italian church""], [""Dominique Perben"", ""employer"", ""French congregation""], [""Dominique Perben"", ""employer"", ""University of Geneva""]]"
Q11693579,"[[""Joan Higginbotham"", ""instance of"", ""human""], [""Coburg Badge"", ""instance of"", ""award""], [""Joan Higginbotham"", ""award received"", ""Coburg Badge""]]"
Q1169803,"[[""Nikola Poposki"", ""instance of"", ""human""], [""Spezia Calcio"", ""instance of"", ""sports team""], [""Pro Patria"", ""instance of"", ""sports team""], [""Catania FC"", ""instance of"", ""sports team""], [""Nikola Poposki"", ""member of sports team"", ""Spezia Calcio""], [""Nikola Poposki"", ""member of sports team"", ""Pro Patria""], [""Nikola Poposki"", ""member of sports team"", ""Catania FC""]]"
Q117147,"[[""Hermann Zabel"", ""instance of"", ""human""], [""Karim Bennani"", ""instance of"", ""human""], [""Hermann Zabel"", ""spouse"", ""Karim Bennani""], [""Karim Bennani"", ""spouse"", ""Hermann Zabel""]]"
Q11715486,"[[""Lina Wertm\u00fcller"", ""instance of"", ""human""], [""Dr A. H. Heineken Prize for Environmental Sciences"", ""instance of"", ""award""], [""Lina Wertm\u00fcller"", ""award received"", ""Dr A. H. Heineken Prize for Environmental Sciences""], [""bio-geographic correlations"", ""instance of"", ""scientific discovery""], [""Lina Wertm\u00fcller"", ""field of work"", ""bio-geographic correlations""]]"
Q1171968,"[[""Alexandre, Chevalier de Chaumont"", ""instance of"", ""human""], [""Olympique Lyonnais"", ""instance of"", ""sports team""], [""Alexandre, Chevalier de Chaumont"", ""member of sports team"", ""Olympique Lyonnais""]]"
Q1173381,"[[""Corey Dillon"", ""instance of"", ""human""], [""Austria national association football team"", ""instance of"", ""sports team""], [""Liverpool reserves"", ""instance of"", ""sports team""], [""FV Lauda"", ""instance of"", ""sports team""], [""Corey Dillon"", ""member of sports team"", ""Austria national association football team""], [""Corey Dillon"", ""member of sports team"", ""Liverpool reserves""], [""Corey Dillon"", ""member of sports team"", ""FV Lauda""]]"
Q1173810,"[[""Markus Lanz"", ""instance of"", ""human""], [""University of Charleston"", ""instance of"", ""educational institution""], [""Markus Lanz"", ""educated at"", ""University of Charleston""]]"
Q1173876,"[[""David Auburn Auburn"", ""instance of"", ""human""], [""Sandro Pertini"", ""instance of"", ""human""], [""David Auburn Auburn"", ""spouse"", ""Sandro Pertini""]]"
Q1174641,"[[""Pierre de Marivaux"", ""instance of"", ""human""], [""Klubschule Migros prep school"", ""instance of"", ""educational institution""], [""Pierre de Marivaux"", ""educated at"", ""Klubschule Migros prep school""]]"
Q1174788,"[[""Ulf Schirmer"", ""instance of"", ""human""], [""Phyllis Ulf Schirmer (nee Grennan)"", ""instance of"", ""human""], [""casting director"", ""instance of"", ""occupation""], [""Ulf Schirmer"", ""occupation"", ""casting director""], [""Ulf Schirmer"", ""spouse"", ""Phyllis Ulf Schirmer (nee Grennan)""], [""Phyllis Ulf Schirmer (nee Grennan)"", ""spouse"", ""Ulf Schirmer""]]"
Q117562,"[[""Eloge Enza Yamissi"", ""instance of"", ""human""], [""Paul Langevin"", ""instance of"", ""human""], [""Eloge Enza Yamissi"", ""spouse"", ""Paul Langevin""], [""Paul Langevin"", ""spouse"", ""Eloge Enza Yamissi""]]"
Q117577,"[[""Gustav Ritter von Kahr"", ""instance of"", ""human""], [""Marc Gustav Ritter von Kahr"", ""instance of"", ""human""], [""Modeling"", ""instance of"", ""occupation""], [""Formula One Driving"", ""instance of"", ""occupation""], [""Gustav Ritter von Kahr"", ""occupation"", ""Modeling""], [""Gustav Ritter von Kahr"", ""spouse"", ""Marc Gustav Ritter von Kahr""], [""Marc Gustav Ritter von Kahr"", ""occupation"", ""Formula One Driving""]]"
Q1176307,"[[""Marc-Kevin Goellner"", ""instance of"", ""human""], [""\\u00d6sterreichischer Zeitschriftenpreis"", ""instance of"", ""award""], [""Marc-Kevin Goellner"", ""award received"", ""\\u00d6sterreichischer Zeitschriftenpreis""], [""journalism"", ""instance of"", ""field of work""], [""Marc-Kevin Goellner"", ""field of work"", ""journalism""]]"
Q1176459,"[[""Robert Nivelle"", ""instance of"", ""human""], [""Navy service"", ""instance of"", ""occupation""], [""Robert Nivelle"", ""occupation"", ""Navy service""], [""New York University Tandon School of Engineering"", ""instance of"", ""educational institution""], [""Robert Nivelle"", ""educated at"", ""New York University Tandon School of Engineering""], [""PhD in biology and chemistry"", ""instance of"", ""academic degree""], [""Robert Nivelle"", ""academic degree"", ""PhD in biology and chemistry""]]"
Q117687,"[[""Johann Friedrich Dieffenbach"", ""instance of"", ""human""], [""Democratic state conventions"", ""instance of"", ""political organization""], [""Cumberland School of Law"", ""instance of"", ""educational institution""], [""Pepperdine University"", ""instance of"", ""educational institution""], [""Johann Friedrich Dieffenbach"", ""member of political party"", ""Democratic state conventions""], [""Johann Friedrich Dieffenbach"", ""educated at"", ""Cumberland School of Law""], [""Johann Friedrich Dieffenbach"", ""educated at"", ""Pepperdine University""]]"
Q1177683,"[[""Ulrich Becker"", ""instance of"", ""human""], [""Crafoord Prize"", ""instance of"", ""science award""], [""Ulrich Becker"", ""award received"", ""Crafoord Prize""]]"
Q11802423,"[[""Wolfgang Uhlmann"", ""instance of"", ""human""], [""Albrecht D\u00fcrer"", ""instance of"", ""human""], [""Francis Blake Delaval"", ""instance of"", ""human""], [""Wolfgang Uhlmann"", ""spouse"", ""Albrecht D\u00fcrer""], [""Albrecht D\u00fcrer"", ""child"", ""Francis Blake Delaval""]]"
Q1181574,"[[""Georg von Boeselager"", ""instance of"", ""human""], [""Wisconsin International University College"", ""instance of"", ""educational institution""], [""Thomas F."", ""instance of"", ""human""], [""Georg von Boeselager"", ""doctoral advisor"", ""Thomas F.""], [""Georg von Boeselager"", ""educated at"", ""Wisconsin International University College""]]"
Q118228,"[[""Riona Hazuki"", ""instance of"", ""human""], [""German Archaeological Institute"", ""instance of"", ""organization""], [""Technischen Universit\u221a\u00a7t M\u221a\u00banchen"", ""instance of"", ""educational institution""], [""Sandra Lerner"", ""instance of"", ""human""], [""Riona Hazuki"", ""educated at"", ""Technischen Universit\u221a\u00a7t M\u221a\u00banchen""], [""Riona Hazuki"", ""doctoral advisor"", ""Sandra Lerner""], [""Riona Hazuki"", ""employer"", ""German Archaeological Institute""]]"
Q11828918,"[[""Hermann Burmeister"", ""instance of"", ""human""], [""Nation University"", ""instance of"", ""educational institution""], [""United States"", ""instance of"", ""sovereign state""], [""Hermann Burmeister"", ""educated at"", ""Nation University""], [""Hermann Burmeister"", ""country of citizenship"", ""United States""]]"
Q11855043,"[[""Sonja Bernhardt"", ""instance of"", ""human""], [""auxiliary bishop of Buenos Aires"", ""instance of"", ""position""], [""Supreme Patriarch of Thailand of Cediae"", ""instance of"", ""position""], [""Sonja Bernhardt"", ""position held"", ""auxiliary bishop of Buenos Aires""], [""Sonja Bernhardt"", ""position held"", ""Supreme Patriarch of Thailand of Cediae""]]"
Q11860,"[[""Heinrich von Treitschke"", ""instance of"", ""human""], [""Federalist Party"", ""instance of"", ""political party""], [""Hikitsuke"", ""instance of"", ""position""], [""President of Finland"", ""instance of"", ""position""], [""Heinrich von Treitschke"", ""member of political party"", ""Federalist Party""], [""Heinrich von Treitschke"", ""position held"", ""Hikitsuke""], [""Heinrich von Treitschke"", ""position held"", ""President of Finland""]]"
Q11861819,"[[""Ola Delight Smith"", ""instance of"", ""human""], [""Ola Delight Smith"", ""educated at"", ""University of Alaska Southeast""], [""University of Alaska Southeast"", ""instance of"", ""educational institution""]]"
Q118725,"[[""Abdul Momin"", ""instance of"", ""human""], [""Sandra Day O'Connor"", ""instance of"", ""human""], [""Brunei"", ""instance of"", ""sovereign state""], [""Abdul Momin"", ""country of citizenship"", ""Brunei""], [""Abdul Momin"", ""spouse"", ""Sandra Day O'Connor""], [""Sandra Day O'Connor"", ""spouse"", ""Abdul Momin""]]"
Q1188609,"[[""Gertrude of Merania"", ""instance of"", ""human""], [""NK Varteks"", ""instance of"", ""sports team""], [""Gertrude of Merania"", ""member of sports team"", ""NK Varteks""], [""21 August 2012"", ""instance of"", ""date""], [""Gertrude of Merania"", ""work period (start)"", ""21 August 2012""], [""professional footballer"", ""instance of"", ""occupation""], [""Gertrude of Merania"", ""occupation"", ""professional footballer""]]"
Q11887,"[[""Zhang Xueliang"", ""instance of"", ""human""], [""Classics"", ""instance of"", ""field of work""], [""Mathematics"", ""instance of"", ""field of work""], [""1827 BA"", ""instance of"", ""academic degree""], [""1837 visiting scholar"", ""instance of"", ""academic degree""], [""Zhang Xueliang"", ""field of work"", ""Classics""], [""Zhang Xueliang"", ""field of work"", ""Mathematics""], [""Zhang Xueliang"", ""academic degree"", ""1827 BA""], [""Zhang Xueliang"", ""academic degree"", ""1837 visiting scholar""]]"
Q1189095,"[[""Haluk Y\\u0131ld\\u0131r\\u0131m"", ""instance of"", ""human""], [""Italo Balbo"", ""instance of"", ""human""], [""Haluk Y\\u0131ld\\u0131r\\u0131m"", ""spouse"", ""Italo Balbo""], [""Italo Balbo"", ""spouse"", ""Haluk Y\\u0131ld\\u0131r\\u0131m""]]"
Q1189412,"[[""Wolfgang Gartner"", ""instance of"", ""human""], [""Jessica Ennis-Hill"", ""instance of"", ""human""], [""Wolfgang Gartner"", ""spouse"", ""Jessica Ennis-Hill""]]"
Q11907293,"[[""Ursula von der Leyen D\\u221a\\u2260az-Plaja i Contest\\u221a\\u2260"", ""instance of"", ""human""], [""Coburg Badge award"", ""instance of"", ""award""], [""Ursula von der Leyen D\\u221a\\u2260az-Plaja i Contest\\u221a\\u2260"", ""award received"", ""Coburg Badge award""]]"
Q1191143,"[[""Friedrich, Duke of Schleswig-Holstein-Sonderburg-Gl\u00fccksburg"", ""instance of"", ""human""], [""KF Teuta Durr\u00ebs"", ""instance of"", ""sports team""], [""January 10, 2013"", ""instance of"", ""date""], [""Friedrich, Duke of Schleswig-Holstein-Sonderburg-Gl\u00fccksburg"", ""member of sports team"", ""KF Teuta Durr\u00ebs""], [""Friedrich, Duke of Schleswig-Holstein-Sonderburg-Gl\u00fccksburg"", ""work period (start)"", ""January 10, 2013""]]"
Q11918894,"[[""Adolf Galland"", ""instance of"", ""human""], [""University of Barcelona"", ""instance of"", ""educational institution""], [""University of Charleston"", ""instance of"", ""educational institution""], [""Adolf Galland"", ""educated at"", ""University of Barcelona""], [""Adolf Galland"", ""educated at"", ""University of Charleston""]]"
Q119255,"[[""Jos\u00e9 Carrillo de Albornoz, 1st Duke of Montemar"", ""instance of"", ""human""], [""Jeannie Jos\u00e9 Carrillo de Albornoz, 1st Duke of Montemar"", ""instance of"", ""human""], [""Jos\u00e9 Carrillo de Albornoz, 1st Duke of Montemar"", ""spouse"", ""Jeannie Jos\u00e9 Carrillo de Albornoz, 1st Duke of Montemar""], [""Jeannie Jos\u00e9 Carrillo de Albornoz, 1st Duke of Montemar"", ""spouse"", ""Jos\u00e9 Carrillo de Albornoz, 1st Duke of Montemar""]]"
Q11928385,"[[""Reka Zsofia Laz\\u0103r-Szabo Xucl\\u221a\\u2020"", ""instance of"", ""human""], [""Democratic Convergence of Catalonia (CDC)"", ""instance of"", ""political party""], [""Nationalist Youth of Catalonia (JNC)"", ""instance of"", ""organization""], [""secretary-general"", ""instance of"", ""position""], [""Caliph"", ""instance of"", ""position""], [""Reka Zsofia Laz\\u0103r-Szabo Xucl\\u221a\\u2020"", ""member of political party"", ""Democratic Convergence of Catalonia (CDC)""], [""Reka Zsofia Laz\\u0103r-Szabo Xucl\\u221a\\u2020"", ""position held"", ""secretary-general""], [""Reka Zsofia Laz\\u0103r-Szabo Xucl\\u221a\\u2020"", ""position held"", ""Caliph""], [""Reka Zsofia Laz\\u0103r-Szabo Xucl\\u221a\\u2020"", ""member of"", ""Nationalist Youth of Catalonia (JNC)""]]"
Q11930,"[[""Emilie Snethlage"", ""instance of"", ""human""], [""Manuel Jim\u00e9nez Jim\u00e9nez"", ""instance of"", ""human""], [""University of Louisiana at Lafayette"", ""instance of"", ""academic institution""], [""Aspen, Colorado"", ""instance of"", ""geographic location""], [""Emilie Snethlage"", ""spouse"", ""Manuel Jim\u00e9nez Jim\u00e9nez""], [""Emilie Snethlage"", ""educated at"", ""University of Louisiana at Lafayette""], [""Manuel Jim\u00e9nez Jim\u00e9nez"", ""residence"", ""Aspen, Colorado""]]"
Q1193089,"[[""Marjan Turn\u0161ek"", ""instance of"", ""human""], [""Grammy Hall of Fame"", ""instance of"", ""hall of fame""], [""Swedish science academies"", ""instance of"", ""organization""], [""Portuguese science academies"", ""instance of"", ""organization""], [""Czechoslovakian science academies"", ""instance of"", ""organization""], [""Belgian science academies"", ""instance of"", ""organization""], [""Marjan Turn\u0161ek"", ""award received"", ""Grammy Hall of Fame""], [""Marjan Turn\u0161ek"", ""member of"", ""Swedish science academies""], [""Marjan Turn\u0161ek"", ""member of"", ""Portuguese science academies""], [""Marjan Turn\u0161ek"", ""member of"", ""Czechoslovakian science academies""], [""Marjan Turn\u0161ek"", ""member of"", ""Belgian science academies""]]"
Q119535,"[[""Giorgi Mazniashvili"", ""instance of"", ""human""], [""2010 Nobel Prize in Physiology or Medicine"", ""instance of"", ""award""], [""Giorgi Mazniashvili"", ""award received"", ""2010 Nobel Prize in Physiology or Medicine""]]"
Q11975,"[[""Omurbek Babanov"", ""instance of"", ""human""], [""Favorite Pop Artist"", ""instance of"", ""award""], [""2018 Screen Award for Best Background Music"", ""instance of"", ""award""], [""Vince Gilligan"", ""instance of"", ""human""], [""Omurbek Babanov"", ""award received"", ""Favorite Pop Artist""], [""Omurbek Babanov"", ""award received"", ""2018 Screen Award for Best Background Music""], [""Omurbek Babanov"", ""spouse"", ""Vince Gilligan""]]"
