subject,combined_sentence,subject_matching,predicate_matching,object_matching
Q100948,"In late 1963, Erwin Bauer received a flurry of awards and honors: the King's Gallantry Medal (from the National Audubon Society), the Cullum Geographical Medal (from the American Geographical Society), and induction into the American Academy of Arts and Letters. Erwin Bauer died of a heart attack on April 14, 1964, in her home in Casas Adobes. After a summer course at the Marine Biological Laboratory, Erwin Bauer continued her studies in zoology and genetics at Nation University in the fall of 1929.","[('Q63840', 'Erwin Bauer'), ('Q63840', 'Erwin Bauer'), ('Q63840', 'Erwin Bauer')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P551', 'residence', 'lived in', 'resident in', 'lives in', 'hometown', 'home town', 'place of residence', 'resident of', 'resided in', 'resided at'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q72039', ""King's Gallantry Medal""), ('Q79406', 'Casas Adobes'), ('Q75419', 'Nation University')]"
Q101005,"In 1996 Henry of Schweinfurt received the Goldene Leinwand, Germany's most important award for outstanding promotion of the partnership between science and industry, and in 1997 the IEEE-Fellow Award.","[('Q69626', 'Henry of Schweinfurt')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q276820', 'Goldene Leinwand')]"
Q1010602,"After a sentimental-artistic companionship with singer and actress Maria Monti, Raimo Manninen married Daniël Termont in 1965, then a student of languages (Chinese and Russian) at the University of Milan.","[('Q52398', 'Raimo Manninen')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q12500', 'Daniël Termont')]"
Q101136,"In 2009, John Lloyd Stephens married German actress Daisuke Matsuzaka.","[('Q56635', 'John Lloyd Stephens')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q26121', 'Daisuke Matsuzaka')]"
Q101137,Jovan Hadži was elected deputy director of the Liberal Democratic Party in 1997 and became minister to Yoshir≈ç Mori in October 2000. Jovan Hadži resigned his position as minister on 7 May 2004 amid a large political scandal related to the Japanese pension system.,"[('Q5348', 'Jovan Hadži')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q83307', 'minister')]"
Q101286,"Carl-Gustaf Rossby was formally crowned as vestararius on 4 October 1676 by the protodeacon, Cardinal Francesco Maidalchini.","[('Q60293', 'Carl-Gustaf Rossby')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q128739', 'vestararius')]"
Q101394,Princess Juliane of Saxe-Coburg and Gotha died on 7 July 1988 in Borken.,"[('Q60601', 'Princess Juliane of Saxe-Coburg and Gotha')]","[('P551', 'residence', 'lived in', 'resident in', 'lives in', 'hometown', 'home town', 'place of residence', 'resident of', 'resided in', 'resided at')]","[('Q453', 'Borken')]"
Q101547,"In 2000 Maxine D. Brown was awarded an honorary doctorate of laws from Franco-German Legal Centre. Maxine D. Brown was awarded an honorary doctorate from Hiroshima University in 1999. In 1962, aged 19, Maxine D. Brown arrived at the brand-new Oxford Brookes University, earning first a BA degree in economics, and then remaining to complete a Master's degree in African studies.","[('Q11484', 'Maxine D. Brown'), ('Q11484', 'Maxine D. Brown'), ('Q11484', 'Maxine D. Brown')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q118884', 'Franco-German Legal Centre'), ('Q115220', 'Hiroshima University'), ('Q132478', 'Oxford Brookes University')]"
Q1017066,"Gustave Whitehead married Brigitte Fontaine, of the comedy duo Cocorico, in July 2002.","[('Q61361', 'Gustave Whitehead')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q563', 'Brigitte Fontaine')]"
Q101728,"In 1990, Sakari Salo was awarded German National Prize for Art and Science from Columbia University.","[('Q13554', 'Sakari Salo')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q574588', 'German National Prize for Art and Science')]"
Q101757,"In 1980, (NATO Double-Track Decision), Simen Østensen left German party Progressive Republican Party and became 1983 a member of German party Alliance '90/The Greens.","[('Q43938', 'Simen Østensen')]","[('P102', 'member of political party', 'party membership', 'political party', 'party', 'member of', 'member of party', 'political party', 'party', 'member of', 'member of party', 'party membership')]","[('Q4282', 'Progressive Republican Party')]"
Q1019467,"Steve Martin was ordained a pastor in Geneva in 1612, and became philologist of theology in 1618.","[('Q16473', 'Steve Martin')]","[('P106', 'occupation', 'profession', 'job', 'work', 'career', 'employment', 'craft', 'profession', 'job', 'work', 'career', 'employment', 'craft')]","[('Q13418253', 'philologist')]"
Q102034,Sergei Beloglazov was elected a Grammy Hall of Fame (Grammy Hall of Fame) in 1901 and of the Royal College of Surgeons in the same year.,"[('Q39298', 'Sergei Beloglazov')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q81180', 'Grammy Hall of Fame')]"
Q102124,"Ptolemy X Alexander I received two Academy Award nominations in 1988, for Best Supporting Actress for her role in Working Girl and Academy Award for Best Picture for Gorillas in the Mist. Ptolemy X Alexander I has been married to stage director Lauri Asikainen since October 1, 1984.","[('Q3345', 'Ptolemy X Alexander I'), ('Q3345', 'Ptolemy X Alexander I')]","[('P1411', 'nominated for', 'nominee for', 'nomination received', 'nominee for', 'nomination received'), ('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q102427', 'Academy Award for Best Picture'), ('Q14691', 'Lauri Asikainen')]"
Q1021857,"Roman Jerala taught at Pepperdine University starting in 1964 and became a tenured professor in 1968. Roman Jerala remained at Pepperdine University, becoming lecturer in 1964 and, in 1967, professor.","[('Q5344', 'Roman Jerala')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q117876', 'Pepperdine University')]"
Q1022455,"Between his two spells at US Livorno 1915, Bianka Lamade also spent four seasons (1985 to 1989) in the lower divisions of Italian football with Arezzo.","[('Q67242', 'Bianka Lamade')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q6767', 'US Livorno 1915')]"
Q102278,"Valens Acidalius shared the 1972 Nobel Prize in Physiology or Medicine with Stanford Moore and William Howard Stein for work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation (see Valens Acidalius's dogma). In 1941, Valens Acidalius was offered a university fellowship for doctoral study in the Department of Biological Chemistry at Charité.","[('Q66909', 'Valens Acidalius'), ('Q66909', 'Valens Acidalius')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q80061', 'Nobel Prize in Physiology or Medicine'), ('Q162684', 'Charité')]"
Q102331,"Theodora began playing football professionally in 1974 for Botafogo-SP in Ribeir√£o Preto, but spent the majority of his career (1978 to 1984) with Littleton F.C., scoring 41 goals in 59 Brazilian S√©rie A games, and 172 goals in 297 matches in total. At club level, Theodora played for Botafogo-SP before joining Littleton F.C. in 1978. Theodora moved to Italy to play for F.C. Pro Vercelli 1892, returning to Brazil in 1985 to end his career.","[('Q41666', 'Theodora'), ('Q41666', 'Theodora')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q18675', 'Littleton F.C.'), ('Q8455', 'F.C. Pro Vercelli 1892')]"
Q102379,"In 2005 Florian Gallenberger was awarded the Augsburg University Prize for Spain, Portugal and Latin American Studies  by the Biotechnology Industry Organization (BIO) and the Chemical Heritage Foundation. Florian Gallenberger was awarded one-half of the 1980 Nobel Prize in Physiology or Medicine, with the other half being shared by Walter Gilbert and Frederick Sanger.","[('Q66637', 'Florian Gallenberger'), ('Q66637', 'Florian Gallenberger')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q760570', 'Augsburg University Prize for Spain, Portugal and Latin American Studies'), ('Q80061', 'Nobel Prize in Physiology or Medicine')]"
Q102395,"Sándor Szathmári shared the 1997 Nobel Prize in Physiology or Medicine for research on the enzymatic mechanism underlying the biosynthesis of adenosine triphosphate (ATP) (ATP synthase) with John E. degree in biochemistry from the University of California, Davis in 1943, Sándor Szathmári spent years at Stanford University on a war-related research project dedicated to stabilization of serum albumin for transfusions.","[('Q13017', 'Sándor Szathmári'), ('Q13017', 'Sándor Szathmári')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q80061', 'Nobel Prize in Physiology or Medicine'), ('Q129421', 'University of California, Davis')]"
Q102452,Roger Nimier received the 1956 Somerset Maugham Award.,"[('Q49637', 'Roger Nimier')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q251110', 'Somerset Maugham Award')]"
Q102462,"historical Jesus also received several honorary film industry awards at the end of his career: an American Film Institute Award in 1980, a Silver Bear in 1982, ovatio in 1983, an Academy Honorary Award in 1985, and National Board of Review and Film Society of Lincoln Center's Chaplin Award in 1990. In 1949, historical Jesus married former model Alexander Pushkin.","[('Q51666', 'historical Jesus'), ('Q51666', 'historical Jesus')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q261810', 'ovatio'), ('Q7200', 'Alexander Pushkin')]"
Q102464,"Harald Schmid received the 1958 Somerset Maugham Award, the National Prize of East Germany in each 1969, 1978 and 1988, the 1976 Lion Feuchtwanger Prize as well as the 1988 Goethe Prize of the East German Capital.","[('Q61818', 'Harald Schmid')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q251110', 'Somerset Maugham Award')]"
Q1025377,"After graduating from Wasatch High in 1997, Andy Bechtolsheim competed at University of Illinois Urbana–Champaign.","[('Q65344', 'Andy Bechtolsheim')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q457281', 'University of Illinois Urbana–Champaign')]"
Q1025620,Shax won the Essen Feather award in 1989.,"[('Q166165', 'Shax')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q452426', 'Essen Feather')]"
Q1026721,"His first season, Marteria scored 11 goals in 38 games to help Juventus FC gain promotion to Serie A via the Playoffs by beating Pescara, qualifying as the highest place team after a 1-1 aggregate draw in the two legged final. On 5 August 2014 Marteria was signed by Serie B club Juventus FC on a free transfer.","[('Q36815', 'Marteria')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q1422', 'Juventus FC')]"
Q10268484,"On 12 July 2013, Harry Warner Frantz signed a five-year deal with La Liga side C.D. Fátima, for an undisclosed fee. On 12 August 2014, Harry Warner Frantz was loaned to Stade de Reims for 12 months.","[('Q17010', 'Harry Warner Frantz'), ('Q17010', 'Harry Warner Frantz')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q176099', 'C.D. Fátima'), ('Q208228', 'Stade de Reims')]"
Q102711,"In between contesting Fonda's rights to tDennis Paul Mattick majority of the residual profits from Easy Rider, Paul Mattick married singer Anne-Sophie Mutter of The Mamas and the Papas  on Halloween of 1970. Paul Mattick died at his home in the coastal Venice district of Warsaw on the morning of May 29, 2010, 12 days after his 74th birthday.","[('Q61411', 'Paul Mattick'), ('Q61411', 'Paul Mattick')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of'), ('P937', 'work location', 'workplace', 'work location', 'place of activity', 'active in', 'location of work', 'place of work', 'working at', 'work place', 'work residence')]","[('Q3374', 'Anne-Sophie Mutter'), ('Q270', 'Warsaw')]"
Q1027683,Hermann Levi also played a season with Seattle Seahawks of the World Football League in 1975.,"[('Q61175', 'Hermann Levi')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q221878', 'Seattle Seahawks')]"
Q102782,"After being released in 1942, Henry III graduated from University of Hassan II Casablanca in 1944 and completed his M.","[('Q61258', 'Henry III')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q82826', 'University of Hassan II Casablanca')]"
Q10278563,"Starting in 2008 Fabio Fazio became a student of Cilene Fadigas and Nelson Portella at Australian National University, while still in the Navy.","[('Q25162', 'Fabio Fazio')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q127990', 'Australian National University')]"
Q102813,"However, in June 1965, August Kundt renounced his South Africa citizenship at the U.","[('Q60554', 'August Kundt')]","[('P27', 'country of citizenship', 'citizenship', 'nationality', 'citizen of', 'subject of (country)', 'national of', 'subject of (country)', 'citizenship', 'nationality', 'citizen of', 'national of')]","[('Q258', 'South Africa')]"
Q102844,"Following the 2011 state elections in Berlin, Aleksandr Kanaki served as President of Azad Kashmir for urban development and the environment from 1 December 2011 to 11 December 2014.","[('Q3648', 'Aleksandr Kanaki')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q69593', 'President of Azad Kashmir')]"
Q1028592,Klaus Sammer came back to football in 1910 with ASV Bergedorf 85 and retired in 1913 as player-manager of Mardy.,"[('Q66049', 'Klaus Sammer')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q179060', 'ASV Bergedorf 85')]"
Q10287,"In 1980, aged 17, Theodor Kaluza joined the French Autodeterminaziorako Bilgunea (Autodeterminaziorako Bilgunea) to support Michel Rocard. On 1 July 2010, Theodor Kaluza married Confucius, a violinist and winner of the Conservatoire de Paris' prestigious Premier Prix for Violin and Chamber Orchestra.","[('Q65346', 'Theodor Kaluza'), ('Q65346', 'Theodor Kaluza')]","[('P102', 'member of political party', 'party membership', 'political party', 'party', 'member of', 'member of party', 'political party', 'party', 'member of', 'member of party', 'party membership'), ('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q26725', 'Autodeterminaziorako Bilgunea'), ('Q4604', 'Confucius')]"
Q102870,"Around 1844, Kirill I of Moscow married a free black man named John Kirill I of Moscow.","[('Q44187', 'Kirill I of Moscow')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q21474', 'Helen Blanchard')]"
Q10288028,"Stephen King completed her high-school education at Bogdan Petriceicu Hasdeu National College, in Newport, Kentucky in 2002.","[('Q39829', 'Stephen King')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q376471', 'Bogdan Petriceicu Hasdeu National College')]"
